"gauging_station";"river";"longitude";"latitude";"km_csa";"pnp";"MThw";"MTnw"
"Wehr Geesthacht UP";"Elbe_tidal";10.3347692339898;53.4232947776338;0;-5;781.0728355;554.5014879
"Altengamme";"Elbe_tidal";10.2973858811647;53.4311949630199;3;-5.005;770.7024231;531.8176279
"Zollenspieker";"Elbe_tidal";10.1854114917521;53.3987026601595;12;-5.02;751.9253224;474.9458693
"Over";"Elbe_tidal";10.101101118766;53.4286891576019;19;-5.082;745.8560295;428.5204082
"Bunthaus";"Elbe_tidal";10.0640199066915;53.461413358382;24;-5;728.8499362;388.9299887
"Schoepfstelle";"Elbe_tidal";10.0615775029062;53.5084033602;29;-5.004;720.5333333;353.4333333
"St. Pauli";"Elbe_tidal";9.96997265041196;53.5454434077035;37;-5;712.507156;342.3475057
"Seemannshoeft (Pegel HPA)";"Elbe_tidal";9.8795839640232;53.5395714695715;43;-5;707.2376364;348.6045918
"Blankenese";"Elbe_tidal";9.79579715454119;53.5577226094188;49;-5;701.988522;355.1806973
"Schulau";"Elbe_tidal";9.70288134079074;53.5679137108774;55;-5.006;692.3537197;359.46678
"Luehort";"Elbe_tidal";9.63335519814266;53.5715739180061;59;-5.011;688.5805158;361.585119
"Stadersand";"Elbe_tidal";9.52660247097116;53.6297265634628;69;-5.027;680.5422843;371.056576
"Grauerort";"Elbe_tidal";9.49491130777029;53.6779055185805;74;-5.018;674.289018;372.7968821
"Kollmar";"Elbe_tidal";9.45976257475794;53.7311223905371;81;-5.011;668.1673091;375.2276927
"Krautsand";"Elbe_tidal";9.39155349164272;53.7542849931731;85;-5.018;662.7719994;373.7069161
"Glueckstadt";"Elbe_tidal";9.40907678043328;53.7845441238797;88;-5;659.6226442;375.2555272
"Brokdorf";"Elbe_tidal";9.31603460099005;53.8626994050597;98;-5.025;656.6014595;377.7288832
"Brunsbuettel Mole 4 (Pegel)";"Elbe_tidal";9.12577945500697;53.8874882587191;111;-5;645.6114496;366.9098767
"Osteriff";"Elbe_tidal";9.02955448987643;53.8552022967263;118;-5;653.2210352;371.2421005
"Otterndorf";"Elbe_tidal";8.86889443512172;53.8342997721532;128;-5;652.2645314;368.4088573
"Cuxhaven-Steubenhoeft";"Elbe_tidal";8.7174298808659;53.8676993774485;139;-5.019;654.1630013;360.0989514
"Mittelgrund";"Elbe_tidal";8.63621468987926;53.9420820637069;147;-5;647.0941043;350.6426243
"Bake C - Scharhoern";"Elbe_tidal";8.46803644234889;53.9698574396595;159;-4.987;645.9650227;348.684696
"Bake Z";"Elbe_tidal";8.31461160207831;54.013526568605;170;-5;640.7882653;358.3293184
