"gauging_station";"river";"longitude";"latitude";"km_csa";"pnp";"MThw";"MTnw"
"WESERWEHR UW";"Weser_tidal";8.85480269156338;53.0602464934317;0;-5.03;762;356
"GROSSE WESERBRUECKE";"Weser_tidal";8.80363579099968;53.0730971745107;4;-5.02;757;338
"OSLEBSHAUSEN";"Weser_tidal";8.71221548377738;53.119796859849;13;-5.03;753;334
"VEGESACK";"Weser_tidal";8.61953331097021;53.1694061236699;22;-5.01;738;341
"FARGE";"Weser_tidal";8.51019290549216;53.2047088852231;31;-5.02;728;340
"ELSFLETH";"Weser_tidal";8.48141729852758;53.2639460620696;38;-5.08;727;336
"BRAKE";"Weser_tidal";8.48654643414444;53.3159789985411;44;-5.01;713;317
"RECHTENFLETH";"Weser_tidal";8.50055387349454;53.381161913812;51;-5;704;309
"NORDENHAM";"Weser_tidal";8.4880524159755;53.4644968622905;61;-5;694;297
"BHV ALTER LEUCHTTURM";"Weser_tidal";8.56817503294823;53.5449561031226;71;-5;683;305
"ROBBENSUEDSTEERT";"Weser_tidal";8.44520162543672;53.6392239824344;85;-5;669;314
"DWARSGAT";"Weser_tidal";8.30761553147678;53.7186363233409;98;-4.98;656;323
"LEUCHTTURM ALTE WESER";"Weser_tidal";8.12757172413959;53.863269472026;117;-4.98;638;353
